customer_unique_id,avg_item_price,avg_photos_qty,promised_lead_days,max_installments,recency_days,avg_freight_value,n_categories,avg_items,avg_distance_km,n_payment_types,used_voucher,top_category,payment_type,avg_review_score,avg_delay_days,pct_late_deliveries,is_repeat
16a2e4356a0e4433e45df462ca7606fa,87.45,1.5,33,8.0,7,32.09,2.0,2.0,292.43,1.0,0.0,health_beauty,credit_card,4.0,-25.0,0.0,0
1d90ebd8cb04c7a434474e7d3041ac84,35.0,1.0,21,1.0,3,27.04,1.0,2.0,512.03,1.0,0.0,furniture_decor,credit_card,4.0,-11.0,0.0,0
84fa4ef93ec67a77a0329933dbf190cf,95.0,1.0,30,1.0,20,18.55,1.0,1.0,498.75,1.0,0.0,computers_accessories,credit_card,4.0,-24.0,0.0,1
3c555d15cca5369965d1759ad9530a66,422.0,1.0,38,10.0,6,43.27,1.0,1.0,594.54,1.0,0.0,bed_bath_table,credit_card,4.0,-25.0,0.0,1
936ab2f17a183ff042fecbacdda0b824,79.9,3.0,17,3.0,11,13.0,1.0,1.0,224.62,1.0,0.0,fashion_bags_accessories,credit_card,5.0,-13.0,0.0,0
0b51518c7deffd54b13b007c9f91c3f0,97.98,1.0,19,2.0,26,14.05,1.0,1.0,265.33,1.0,0.0,toys,credit_card,5.0,-14.0,0.0,1
7a3640d76de413545c19f51091c1808e,169.9,3.0,29,1.0,11,41.75,1.0,1.0,2100.38,1.0,0.0,electronics,credit_card,1.0,,,0
4e028cda495e1923851032da7ce43a4b,63.9,3.0,22,8.0,0,40.77,1.0,3.0,435.13,1.0,0.0,housewares,credit_card,5.0,-14.0,0.0,0
8533c0ad827aa78dafc101286cdaf4e8,56.9,2.0,21,3.0,27,19.37,1.0,1.0,725.26,1.0,0.0,health_beauty,credit_card,5.0,-11.0,0.0,0
14418104e2b69c02fec4aa6b3c72d5bd,595.0,2.0,30,1.0,8,85.26,1.0,1.0,471.64,1.0,0.0,auto,boleto,5.0,-16.0,0.0,0
72558f8353b34b1e070f6806b62fad28,89.15,5.0,31,4.0,3,21.04,1.0,1.0,352.48,1.0,0.0,sports_leisure,credit_card,5.0,-20.0,0.0,0
d9a5ebf62ff59b5cef9e4e36b6a76f7e,79.99,5.0,33,1.0,10,23.14,1.0,1.0,1007.09,1.0,0.0,sports_leisure,credit_card,5.0,-19.0,0.0,0
21255a171af88cd4cbb8c02d0308232a,149.9,1.0,29,1.0,4,39.1,1.0,1.0,1669.09,1.0,0.0,computers_accessories,boleto,4.0,-21.0,0.0,0
5dc7a67e8f67e4a66f8e3ef6a0568997,89.9,2.0,24,1.0,24,15.51,1.0,1.0,378.72,1.0,0.0,fashion_sport,boleto,5.0,-14.0,0.0,0
7bcec0a536d8bc7b820ce1174ca64683,53.99,1.0,23,1.0,16,12.82,1.0,1.0,537.9,1.0,0.0,health_beauty,credit_card,5.0,-11.0,0.0,0
aaa7d53cd254031d7cc15a2d60451fcf,230.0,1.0,26,1.0,12,19.49,1.0,1.0,850.5,1.0,0.0,furniture_decor,boleto,5.0,-11.0,0.0,0
b18c8cbd9616a95055ef4146f3f805e1,14.65,1.5,15,1.0,19,14.78,1.0,2.0,17.97,1.0,0.0,housewares,credit_card,5.0,-10.0,0.0,1
3c1d098a6a25de6732b42edb29fd76b3,29.9,1.0,29,2.0,24,12.76,1.0,1.0,431.31,1.0,0.0,health_beauty,credit_card,5.0,-20.0,0.0,0
97c7d72d01f83be7cd235a3658b938c5,24.9,1.0,29,1.0,4,7.39,1.0,1.0,63.13,1.0,0.0,health_beauty,boleto,5.0,-24.0,0.0,0
cfa69922f9968e0e6271647abda09b09,29.99,5.0,25,1.0,18,22.85,1.0,1.0,2040.54,1.0,0.0,telephony,boleto,4.0,-14.0,0.0,1
70427fab453fbd1bb2c7275c8ee829df,90.0,1.0,19,8.0,21,14.05,1.0,1.0,876.69,1.0,0.0,health_beauty,credit_card,5.0,-7.0,0.0,0
375a9ef648b32f9a28eb9f6c28a3a0f3,59.0,1.0,19,3.0,11,13.77,1.0,1.0,97.7,1.0,0.0,housewares,credit_card,1.0,-18.0,0.0,0
6a7ab554bd7fea69443fe5794ddd1ee4,61.8,1.0,10,1.0,20,11.15,1.0,1.0,2.7,1.0,0.0,health_beauty,credit_card,3.0,-6.0,0.0,0
6d5bdbc8e32dd02fa1d2fa4250625af3,136.4,3.0,31,10.0,23,82.26,1.0,2.0,689.98,1.0,0.0,health_beauty,credit_card,3.0,-18.0,0.0,0
3d310b892437fdb1d91d71bc86fb8320,35.9,1.0,13,1.0,19,7.87,1.0,1.0,54.92,1.0,0.0,musical_instruments,credit_card,1.0,4.0,1.0,0
9cb5815e09a510d171950eeb02fcd932,29.0,4.0,32,1.0,11,18.23,1.0,1.0,461.67,1.0,1.0,watches_gifts,voucher,5.0,-17.0,0.0,0
08417644f62cb87c2b413b49eb2e052e,289.9,7.0,15,10.0,27,20.11,1.0,1.0,312.56,1.0,0.0,sports_leisure,credit_card,5.0,-9.0,0.0,0
4799e3ace7babd6d072fd17c4cb01a01,53.19,1.0,27,4.0,26,18.25,1.0,1.0,410.69,1.0,0.0,auto,credit_card,4.0,-18.0,0.0,0
a666bec8af192f2238a0b719a7063a00,168.8,1.0,32,4.0,4,8.21,1.0,1.0,31.5,1.0,0.0,pet_shop,credit_card,5.0,-25.0,0.0,0
590851c835b7400dc1344706de93967c,59.99,2.0,25,1.0,18,15.3,1.0,1.0,,1.0,0.0,perfumery,boleto,4.0,-19.0,0.0,0
65ee274b862c5c053367be8a70dbc029,92.49,1.0,13,1.0,4,8.41,1.0,1.0,15.74,1.0,0.0,health_beauty,credit_card,5.0,-12.0,0.0,1
